id,name,slug,created_at
1f3162b2-b073-4699-adc5-69521edf2565,Dining Range,dining-range,2025-10-07 11:39:16.239891+00
2df6d287-acef-48d6-8383-e34ac96970a0,Study Range,study-range,2025-10-07 11:39:16.239891+00
69109c18-45a8-471c-95fb-30ac08a98f6c,Folding Range,folding-range,2025-10-07 11:39:16.239891+00
a3e4b1f3-170d-4509-ad70-030f3f5bb399,Outdoor Range,outdoor-range,2025-10-07 11:39:16.239891+00
de3ff3d7-3f1a-4bd9-80ea-1389b8e2a5f6,Waiting Benches Range,waiting-benches-range,2025-10-07 11:39:16.239891+00
e0c4796d-ce73-47df-8b1d-56308c07ed02,Office Range,office-range,2025-10-07 11:39:16.239891+00
fefd4b65-9afd-435d-8a48-45be639240ac,Moulded Range,molded-range,2025-10-07 11:39:16.239891+00
